date,brl_usd
05/01/2016,4.0108
06/01/2016,4.0297
07/01/2016,4.0469
08/01/2016,4.0244
11/01/2016,4.0147
12/01/2016,4.0293
13/01/2016,3.9857
14/01/2016,4.0217
15/01/2016,4.0396
18/01/2016,4.0358
19/01/2016,4.0297
20/01/2016,4.0855
21/01/2016,4.1552
22/01/2016,4.1226
25/01/2016,4.0991
26/01/2016,4.0961
27/01/2016,4.0441
28/01/2016,4.0832
29/01/2016,4.0422
01/02/2016,3.9979
02/02/2016,3.9913
03/02/2016,3.9552
04/02/2016,3.8646
05/02/2016,3.8969
10/02/2016,3.9406
11/02/2016,3.9636
12/02/2016,3.9884
15/02/2016,3.9879
16/02/2016,4.0207
17/02/2016,4.0312
18/02/2016,4.0084
19/02/2016,4.0486
22/02/2016,3.9612
23/02/2016,3.9678
24/02/2016,3.9894
25/02/2016,3.9394
26/02/2016,3.9571
29/02/2016,3.979
01/03/2016,3.9907
02/03/2016,3.911
03/03/2016,3.8498
04/03/2016,3.7182
07/03/2016,3.7708
08/03/2016,3.7807
09/03/2016,3.7031
10/03/2016,3.6694
11/03/2016,3.6265
14/03/2016,3.6232
15/03/2016,3.711
16/03/2016,3.8073
17/03/2016,3.6439
18/03/2016,3.614
21/03/2016,3.6223
22/03/2016,3.6067
23/03/2016,3.6525
24/03/2016,3.6942
28/03/2016,3.6401
29/03/2016,3.6681
30/03/2016,3.611
31/03/2016,3.5583
01/04/2016,3.5793
04/04/2016,3.5865
05/04/2016,3.6575
06/04/2016,3.6743
07/04/2016,3.6915
08/04/2016,3.6379
11/04/2016,3.5278
12/04/2016,3.54
13/04/2016,3.5423
14/04/2016,3.512
15/04/2016,3.527
18/04/2016,3.5898
19/04/2016,3.5532
20/04/2016,3.5497
22/04/2016,3.5823
25/04/2016,3.5466
26/04/2016,3.5294
27/04/2016,3.5289
28/04/2016,3.4986
29/04/2016,3.4502
02/05/2016,3.4985
03/05/2016,3.5544
04/05/2016,3.5391
05/05/2016,3.529
06/05/2016,3.5356
09/05/2016,3.538
10/05/2016,3.4766
11/05/2016,3.4639
12/05/2016,3.4871
13/05/2016,3.5035
16/05/2016,3.5029
17/05/2016,3.5031
18/05/2016,3.5362
19/05/2016,3.5997
20/05/2016,3.5413
23/05/2016,3.5654
24/05/2016,3.5485
25/05/2016,3.5798
27/05/2016,3.6162
30/05/2016,3.5991
31/05/2016,3.5945
01/06/2016,3.612
02/06/2016,3.5955
03/06/2016,3.5403
06/06/2016,3.5092
07/06/2016,3.4739
08/06/2016,3.3892
09/06/2016,3.3811
10/06/2016,3.4255
13/06/2016,3.4527
14/06/2016,3.4833
15/06/2016,3.4762
16/06/2016,3.4898
17/06/2016,3.4366
20/06/2016,3.3829
21/06/2016,3.3891
22/06/2016,3.3877
23/06/2016,3.3527
24/06/2016,3.3766
27/06/2016,3.3928
28/06/2016,3.3261
29/06/2016,3.2429
30/06/2016,3.2092
01/07/2016,3.2292
04/07/2016,3.2474
05/07/2016,3.2898
06/07/2016,3.3236
07/07/2016,3.3382
08/07/2016,3.2962
11/07/2016,3.3025
12/07/2016,3.2744
13/07/2016,3.289
14/07/2016,3.2305
15/07/2016,3.265
18/07/2016,3.2628
19/07/2016,3.2795
20/07/2016,3.2506
21/07/2016,3.2579
22/07/2016,3.2848
25/07/2016,3.2813
26/07/2016,3.2784
27/07/2016,3.2814
28/07/2016,3.2734
29/07/2016,3.2384
01/08/2016,3.2656
02/08/2016,3.2484
03/08/2016,3.2727
04/08/2016,3.2177
05/08/2016,3.1853
08/08/2016,3.1765
09/08/2016,3.1497
10/08/2016,3.1296
11/08/2016,3.1358
12/08/2016,3.1596
15/08/2016,3.1666
16/08/2016,3.1743
17/08/2016,3.2242
18/08/2016,3.2209
19/08/2016,3.2261
22/08/2016,3.2157
23/08/2016,3.2047
24/08/2016,3.2366
25/08/2016,3.2313
26/08/2016,3.2147
29/08/2016,3.2607
30/08/2016,3.2519
31/08/2016,3.2397
01/09/2016,3.2466
02/09/2016,3.2425
05/09/2016,3.2715
06/09/2016,3.2446
08/09/2016,3.1928
09/09/2016,3.2632
12/09/2016,3.2848
13/09/2016,3.2966
14/09/2016,3.3256
15/09/2016,3.332
16/09/2016,3.2998
19/09/2016,3.263
